4053,1,+1 big fan of your blog Jason.
4054,1,[~lhofhansl]; thank you so much.
4055,0,So those need to be enabled on as as-needed basis. Kconfig knows about SSE and its ilk. Noted; will take care of it.
4056,0,Committed revision 1341814.
4057,-1,@DevSolar I would like to use boost more; but its synergy with C++11 is terrible; and there are some rather... _curious_ design decisions (Iostreams requires Devices to be copyable; but makes streams noncopyable... Oh; and also nonmovable - at least in th
4058,1,You should give a try. I haven't tested it but they mention that is works with Silverlight OOB apps and even give you a tutorial . It's commercial software; but a 30 day trial is available.
4059,0,bq. guess we need to supply a tool to rename sstables files if anyone is on longer names? We probably don't need to do anything. I don't think anyone is really using names long enough for them to it the file system limit; the goal of limiting the names is just so to prevent this from happening but there will be no other assumption that the names are short from the code. I also don't think anything will prevent rolling upgrades; do you had something in mind? Note: I have a long flight ahead of me so I plan to update my last patch with both those changes; as I still like the moving of all the directories handling in a dedicated class; even if we don't support both layout.
4060,0,As TraumaPony said. Simply load the main game assembly in to Visual Studio and try to compile it. It won't if you try to make a reference to an assembly outside the those that ship with the 360.
4061,0,2
4062,0,She should also use parameterized queries and not have to worry about quotes at all!
4063,0,I need to get the current user too; but can't find that function... can you share the solution?
4064,0,If you insist using CODE_FRAGMENT; you can try the below 2 ways.
4065,0,It is not too late to do one. But because this runs also on the client and I am not sure how compatible those are with the Java ones I decided to write it this way. But you can look at the one I wrote for the source level in Utility.versionPattern if you feel nostalgic. You made me learn GWT regexps and do it!!! and it is here for all to see with all the regexp beautiful simplicity.
4066,1,Can anyone please review the attached patch ? Thanks
4067,-1,Your code sample strikes me as a very strange design and an abuse of what properties are intended for. Why not just an instance method : Your property also returns if the key does not exist; but claims to return an ; nor a .
4068,0,It would be good to try to use the (*types.Package).Name() instead of assuming that it's the same as the last segment of the import path; the latter is only a convention; and it is not followed by users of the http://pkg.in service.
4069,-1,I doubt that Squid is so bad at it.
4070,0,I've saw this after completed the issue.
4071,-1,I disagree. I don't think that would shorten the code by much.
4072,1,Hey I just had to solve this on a project I am working on; here is my answer Then in my configuration (I am using Fluent NHibernate to configure my unit tests in code) AWESOMENESSSSSSSS!
4073,0,Please be sure to review the following: # Collector class and documentation.
4074,0,This patch should do the trick.
4075,0,"Shouldn't ""reviewers"" be possessive; i.e. ""reviewer's""? Also; this sentence talks about singular reviewers; yet the next sentence uses plural (""they"")."
4076,0,I could put the finalizeForCommandLine after processExceptionAtExit. Then it doesn't change anything for LIB_MPI and that wouldn't work anyhow as you point out.
4077,1,Yes; updated the rb just now. Sorry; no perf numbers yet. Let me run some experiments for that. Thanks.
4078,-1,Unfortunately; I don't think so; since it probably contains the version of the metamodel which varies over time...
4079,1,+1. The patch looks good.
4080,1,Hey; thanks for that; I gave it some testing and thought about it over the weekend and it looks perfect; thanks! - Aidan
